meal_code,title,meal_kind,country,cuisine_family,cultural_specific,discovery_level,meal_contexts,diet_tags,components_json,seasoning_note,source_keys,evidence_level,auto_publish_policy,editorial_confidence,editorial_note,enabled,semantic_signature
TEE-MEAL-011,"Poulet rôti, pommes de terre vapeur et courgettes · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Poulet rôti"",""role"":""protein"",""grams"":140,""lookup_terms"":[""poulet viande cuite"",""poulet rôti""]},{""name"":""Pommes de terre vapeur"",""role"":""starch"",""grams"":190,""lookup_terms"":[""pomme de terre cuite à l eau"",""pomme de terre vapeur""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:poulet_roti|starch:pommes_de_terre_vapeur|vegetable:courgettes
TEE-MEAL-012,"Cabillaud au four, pommes de terre vapeur et aubergines · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Cabillaud au four"",""role"":""protein"",""grams"":150,""lookup_terms"":[""cabillaud cuit"",""cabillaud rôti""]},{""name"":""Pommes de terre vapeur"",""role"":""starch"",""grams"":190,""lookup_terms"":[""pomme de terre cuite à l eau"",""pomme de terre vapeur""]},{""name"":""Aubergines"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""aubergine cuite""]}]",ail rôti et thym,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:cabillaud_au_four|starch:pommes_de_terre_vapeur|vegetable:aubergines
TEE-MEAL-013,"Œufs en omelette, pommes de terre vapeur et haricots verts · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Œufs en omelette"",""role"":""protein"",""grams"":120,""lookup_terms"":[""oeuf omelette"",""omelette nature""]},{""name"":""Pommes de terre vapeur"",""role"":""starch"",""grams"":190,""lookup_terms"":[""pomme de terre cuite à l eau"",""pomme de terre vapeur""]},{""name"":""Haricots verts"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""haricot vert cuit""]}]","citron, ail et herbes de Provence","[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:ufs_en_omelette|starch:pommes_de_terre_vapeur|vegetable:haricots_verts
TEE-MEAL-014,"Pois chiches, pommes de terre vapeur et tomates · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Pois chiches"",""role"":""protein_plant"",""grams"":150,""lookup_terms"":[""pois chiche cuit""]},{""name"":""Pommes de terre vapeur"",""role"":""starch"",""grams"":190,""lookup_terms"":[""pomme de terre cuite à l eau"",""pomme de terre vapeur""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite"",""tomate crue""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:pois_chiches|starch:pommes_de_terre_vapeur|vegetable:tomates
TEE-MEAL-015,"Lentilles vertes, pommes de terre vapeur et courgettes · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Lentilles vertes"",""role"":""protein_plant"",""grams"":160,""lookup_terms"":[""lentille verte cuite""]},{""name"":""Pommes de terre vapeur"",""role"":""starch"",""grams"":190,""lookup_terms"":[""pomme de terre cuite à l eau"",""pomme de terre vapeur""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:lentilles_vertes|starch:pommes_de_terre_vapeur|vegetable:courgettes
TEE-MEAL-016,"Poulet rôti, quinoa et haricots verts · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Poulet rôti"",""role"":""protein"",""grams"":140,""lookup_terms"":[""poulet viande cuite"",""poulet rôti""]},{""name"":""Quinoa"",""role"":""starch"",""grams"":170,""lookup_terms"":[""quinoa cuit""]},{""name"":""Haricots verts"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""haricot vert cuit""]}]",ail rôti et thym,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:poulet_roti|starch:quinoa|vegetable:haricots_verts
TEE-MEAL-017,"Cabillaud au four, quinoa et tomates · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Cabillaud au four"",""role"":""protein"",""grams"":150,""lookup_terms"":[""cabillaud cuit"",""cabillaud rôti""]},{""name"":""Quinoa"",""role"":""starch"",""grams"":170,""lookup_terms"":[""quinoa cuit""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite"",""tomate crue""]}]","citron, ail et herbes de Provence","[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:cabillaud_au_four|starch:quinoa|vegetable:tomates
TEE-MEAL-018,"Œufs en omelette, quinoa et courgettes · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Œufs en omelette"",""role"":""protein"",""grams"":120,""lookup_terms"":[""oeuf omelette"",""omelette nature""]},{""name"":""Quinoa"",""role"":""starch"",""grams"":170,""lookup_terms"":[""quinoa cuit""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein:ufs_en_omelette|starch:quinoa|vegetable:courgettes
TEE-MEAL-019,"Pois chiches, quinoa et aubergines · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Pois chiches"",""role"":""protein_plant"",""grams"":150,""lookup_terms"":[""pois chiche cuit""]},{""name"":""Quinoa"",""role"":""starch"",""grams"":170,""lookup_terms"":[""quinoa cuit""]},{""name"":""Aubergines"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""aubergine cuite""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:pois_chiches|starch:quinoa|vegetable:aubergines
TEE-MEAL-020,"Lentilles vertes, quinoa et haricots verts · inspiration provençale",composed_plate,,mediterranean,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Lentilles vertes"",""role"":""protein_plant"",""grams"":160,""lookup_terms"":[""lentille verte cuite""]},{""name"":""Quinoa"",""role"":""starch"",""grams"":170,""lookup_terms"":[""quinoa cuit""]},{""name"":""Haricots verts"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""haricot vert cuit""]}]",ail rôti et thym,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,mediterranean|protein_plant:lentilles_vertes|starch:quinoa|vegetable:haricots_verts
TEE-MEAL-021,"Poulet grillé, pâtes et épinards · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Poulet grillé"",""role"":""protein"",""grams"":140,""lookup_terms"":[""poulet viande cuite""]},{""name"":""Pâtes"",""role"":""starch"",""grams"":180,""lookup_terms"":[""pâtes alimentaires cuites""]},{""name"":""Épinards"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""épinard cuit""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:poulet_grille|starch:pates|vegetable:epinards
TEE-MEAL-022,"Thon au naturel, pâtes et champignons · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Thon au naturel"",""role"":""protein"",""grams"":130,""lookup_terms"":[""thon au naturel égoutté""]},{""name"":""Pâtes"",""role"":""starch"",""grams"":180,""lookup_terms"":[""pâtes alimentaires cuites""]},{""name"":""Champignons"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""champignon cuit""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:thon_au_naturel|starch:pates|vegetable:champignons
TEE-MEAL-023,"Œufs, pâtes et tomates · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Œufs"",""role"":""protein"",""grams"":120,""lookup_terms"":[""oeuf dur"",""oeuf cuit""]},{""name"":""Pâtes"",""role"":""starch"",""grams"":180,""lookup_terms"":[""pâtes alimentaires cuites""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite""]}]",sauge et ail,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:ufs|starch:pates|vegetable:tomates
TEE-MEAL-024,"Haricots blancs, pâtes et courgettes · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Haricots blancs"",""role"":""protein_plant"",""grams"":160,""lookup_terms"":[""haricot blanc cuit""]},{""name"":""Pâtes"",""role"":""starch"",""grams"":180,""lookup_terms"":[""pâtes alimentaires cuites""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]",origan et tomate,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein_plant:haricots_blancs|starch:pates|vegetable:courgettes
TEE-MEAL-025,"Tofu ferme, pâtes et épinards · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Tofu ferme"",""role"":""protein_plant"",""grams"":150,""lookup_terms"":[""tofu nature""]},{""name"":""Pâtes"",""role"":""starch"",""grams"":180,""lookup_terms"":[""pâtes alimentaires cuites""]},{""name"":""Épinards"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""épinard cuit""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein_plant:tofu_ferme|starch:pates|vegetable:epinards
TEE-MEAL-026,"Poulet grillé, polenta et tomates · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Poulet grillé"",""role"":""protein"",""grams"":140,""lookup_terms"":[""poulet viande cuite""]},{""name"":""Polenta"",""role"":""starch"",""grams"":180,""lookup_terms"":[""polenta cuite"",""semoule de maïs cuite""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:poulet_grille|starch:polenta|vegetable:tomates
TEE-MEAL-027,"Thon au naturel, polenta et courgettes · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Thon au naturel"",""role"":""protein"",""grams"":130,""lookup_terms"":[""thon au naturel égoutté""]},{""name"":""Polenta"",""role"":""starch"",""grams"":180,""lookup_terms"":[""polenta cuite"",""semoule de maïs cuite""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]",sauge et ail,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:thon_au_naturel|starch:polenta|vegetable:courgettes
TEE-MEAL-028,"Œufs, polenta et épinards · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Œufs"",""role"":""protein"",""grams"":120,""lookup_terms"":[""oeuf dur"",""oeuf cuit""]},{""name"":""Polenta"",""role"":""starch"",""grams"":180,""lookup_terms"":[""polenta cuite"",""semoule de maïs cuite""]},{""name"":""Épinards"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""épinard cuit""]}]",origan et tomate,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:ufs|starch:polenta|vegetable:epinards
TEE-MEAL-029,"Haricots blancs, polenta et champignons · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Haricots blancs"",""role"":""protein_plant"",""grams"":160,""lookup_terms"":[""haricot blanc cuit""]},{""name"":""Polenta"",""role"":""starch"",""grams"":180,""lookup_terms"":[""polenta cuite"",""semoule de maïs cuite""]},{""name"":""Champignons"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""champignon cuit""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein_plant:haricots_blancs|starch:polenta|vegetable:champignons
TEE-MEAL-030,"Tofu ferme, polenta et tomates · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Tofu ferme"",""role"":""protein_plant"",""grams"":150,""lookup_terms"":[""tofu nature""]},{""name"":""Polenta"",""role"":""starch"",""grams"":180,""lookup_terms"":[""polenta cuite"",""semoule de maïs cuite""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein_plant:tofu_ferme|starch:polenta|vegetable:tomates
TEE-MEAL-031,"Poulet grillé, riz et épinards · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Poulet grillé"",""role"":""protein"",""grams"":140,""lookup_terms"":[""poulet viande cuite""]},{""name"":""Riz"",""role"":""starch"",""grams"":170,""lookup_terms"":[""riz blanc cuit""]},{""name"":""Épinards"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""épinard cuit""]}]",sauge et ail,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:poulet_grille|starch:riz|vegetable:epinards
TEE-MEAL-032,"Thon au naturel, riz et champignons · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Thon au naturel"",""role"":""protein"",""grams"":130,""lookup_terms"":[""thon au naturel égoutté""]},{""name"":""Riz"",""role"":""starch"",""grams"":170,""lookup_terms"":[""riz blanc cuit""]},{""name"":""Champignons"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""champignon cuit""]}]",origan et tomate,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:thon_au_naturel|starch:riz|vegetable:champignons
TEE-MEAL-033,"Œufs, riz et tomates · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]",[],"[{""name"":""Œufs"",""role"":""protein"",""grams"":120,""lookup_terms"":[""oeuf dur"",""oeuf cuit""]},{""name"":""Riz"",""role"":""starch"",""grams"":170,""lookup_terms"":[""riz blanc cuit""]},{""name"":""Tomates"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""tomate cuite""]}]",tomate et basilic,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein:ufs|starch:riz|vegetable:tomates
TEE-MEAL-034,"Haricots blancs, riz et courgettes · inspiration italienne",composed_plate,,italian_inspired,False,0,"[""lunch"",""dinner""]","[""vegetarian""]","[{""name"":""Haricots blancs"",""role"":""protein_plant"",""grams"":160,""lookup_terms"":[""haricot blanc cuit""]},{""name"":""Riz"",""role"":""starch"",""grams"":170,""lookup_terms"":[""riz blanc cuit""]},{""name"":""Courgettes"",""role"":""vegetable"",""grams"":180,""lookup_terms"":[""courgette cuite""]}]",citron et persil,"[""PNNS_RECIPES"",""OLDWAYS_WORLD"",""CIQUAL""]",tee_curated_whitelist,safe_plate,0.92,Assiette TEE construite sur une matrice culinaire validée; publication seulement après résolution CIQUAL forte de chaque composant.,True,italian_inspired|protein_plant:haricots_blancs|starch:riz|vegetable:courgettes
